"sponser_name","sponser_level","sponser_city","sponser_state","sponser_country","sponser_description","sponser_website","sponser_linkedin","sponser_page_url"
"commercetools Inc.","Platinum Level Sponsor","Durham","NC","United States","commercetools invented the headless, cloud-native approach to digital commerce, separating backend functionality from the front-end consumer interface. Furthermore, commercetools provides more than 300 APIs that can be configured into completely customized, scalable and consistent digital commerce experiences for web, mobile, social and IoT interfaces, and even interfaces that are yet to be developed.","","","https://nrfbigshow.nrf.com/company/commercetools-inc"
"DailyPay","Platinum Level Sponsor","New York","NY","United States","DailyPay, Inc., powered by its industry-leading technology platform, is on a mission to build a new financial system for everyone. DailyPay delivers the industry’s leading on-demand pay solution with modern, insight-driven pay strategies that help America’s leading employers to activate their workforce and build stronger relationships with their employees so they feel more engaged, work harder, and stay longer. Through its massive data network, proprietary funding model and connections into over 6,000 endpoints in the banking system, DailyPay works to ensure that money is always in the right place at the right time for employers, merchants and financial institutions. For more information, visit www.dailypay.com.","http://www.dailypay.com","","https://nrfbigshow.nrf.com/company/dailypay"
"Deloitte LLP","Platinum Level Sponsor","New York","NY","United States","Deloitte provides industry-leading audit, consulting, tax and advisory services to many of the world’s most admired brands, including nearly 90% of the Fortune 500® and more than 7,000 private companies. Our people come together for the greater good and work across the industry sectors that drive and shape today’s marketplace — delivering measurable and lasting results that help reinforce public trust in our capital markets, inspire clients to see challenges as opportunities to transform and thrive, and help lead the way toward a stronger economy and a healthier society. Deloitte is proud to be part of the largest global professional services network serving our clients in the markets that are most important to them. Building on more than 175 years of service, our network of member firms spans more than 150 countries and territories. Learn how Deloitte’s more than 345,000 people worldwide connect for impact at www.deloitte.com.","http://www.deloitte.com/us","","https://nrfbigshow.nrf.com/company/deloitte-llp"
"IBM Corporation","Platinum Level Sponsor","Armonk","NY","United States","IBM is a global technology and innovation company and decades-long strategic partner to the retail industry. IBM combines leading technology and deep industry expertise to help clients quickly and securely realize the benefits of advanced technology like AI. Generate insights at the point of engagement and provide a seamless omni-channel experience to delight customers. Build an intelligent supply chain that provides clients supply chain visibility, surety and agility. And drive seamless customer care with AI-powered automation that frees up teams to focus on the most important tasks.  IBM helps companies win the green shopper with a comprehensive sustainability suite that harnesses data, reduces costs and helps eliminate waste. Seamlessly integrate improvements with existing infrastructure to rapidly see value. All of this is backed by IBM's legendary commitment to trust, transparency, responsibility, sustainability, inclusivity, and service. For more information, visit www.ibm.com.","http://www.ibm.com","","https://nrfbigshow.nrf.com/company/ibm-corporation"
"Lenovo","Platinum Level Sponsor","Morrisville","NC","United States","Lenovo (HKSE: 992) (ADR: LNVGY) is a US$60 billion revenue Fortune Global 500 company serving customers in 180 markets around the world. Focused on a bold vision to deliver smarter technology for all, we are developing world-changing technologies that power (through devices and infrastructure) and empower (through solutions, services and software) millions of customers every day and together create a more inclusive, trustworthy and sustainable digital society for everyone, everywhere. To find out more visit https://www.lenovo.com, and read about the latest news via our Story Hub.","https://lenovoretailsolution.com/","","https://nrfbigshow.nrf.com/company/lenovo"
"PricewaterHouseCoopers, LLP","Platinum Level Sponsor","New York City","NY","United States","","http://www.pwc.com","","https://nrfbigshow.nrf.com/company/pricewaterhousecoopers-llp"
"SAP","Chairman's Circle Sponsor","Newtown Square","PA","United States","SAP provides an integrated suite of applications, intelligent technologies, and a real-time retail platform for retailers to drive efficiency and deliver amazing personalized customer experiences anywhere, anytime.  SAP retail solutions help digitally native startups to global retail brands manage all aspects of the retail business with the comprehensive solutions you need to exceed customer expectations with relevant products, information, and engagement when and where they choose to shop.  Learn how SAP can help you be amazing every time at http://www.sap.com/retail","http://www.sap.com/retail","https://www.linkedin.com/showcase/sap-retail/","https://nrfbigshow.nrf.com/company/sap"
"Schaefer Systems International, Inc.","Platinum Level Sponsor","Charlotte","NC","United States","Schaefer Systems International, Inc. is a leading supplier of innovative automation systems, integrated warehouse management technology, and storage solutions for retail and wholesale companies. SSI SCHAEFER provides end-to-end solutions for distribution and warehouse operation facilities including high-density storage, picking solutions, vertical lift storage, automated guided vehicles, and warehouse management software for storefront, e-commerce, and omnichannel distribution. Schaefer Systems International, Inc. is part of the SSI SCHAEFER Group, a global leader in intralogistics and material handling solutions. Founded in 1937, SSI SCHAEFER is a privately owned family company, with over 70 office locations, seven manufacturing facilities, and over 9,000 associates worldwide. SSI SCHAEFER powers the world's largest retail distribution centers with millions of orders processed daily. For more information, visit www.ssi-schaefer.com or schaefersolutions.com.","https://www.ssi-schaefer.com","https://www.linkedin.com/company/ssischaefer/","https://nrfbigshow.nrf.com/company/schaefer-systems-international-inc"
"T-Mobile For Business","Platinum Level Sponsor","Bellevue","WA","United States","With the world changing faster than ever, businesses don’t have time to wait for carriers to play catch-up. That’s why T-Mobile for Business provides the solutions you need to stay ahead, today. We use unconventional thinking to deliver America's largest 5G network, 360 support customized to your business, and incredible value to help you achieve better outcomes and ROIs—all of it, ready right now. It’s time to move forward and join a partner that supports your success on our ready-to-deploy network: T-Mobile for Business.  See what our ready right now 5G solutions can do for you: www.t-mobile.com/business.","http://www.t-mobile.com","https://www.linkedin.com/showcase/t-mobile-business/ ","https://nrfbigshow.nrf.com/company/t-mobile-business"
"Toshiba Global Commerce Solutions, Inc.","Platinum Level Sponsor","Durham","NC","United States","Toshiba Global Commerce Solutions is a global market share leader in retail store technology and retail’s first choice for unified commerce solutions. Together with a global team of dedicated business partners, we advance the future of retail with innovative commerce solutions that enhance customer engagement, transform the in-store experience, and accelerate digital transformation. To learn more, visit commerce.toshiba.com and engage with us on Twitter, LinkedIn, Facebook, Instagram and YouTube.","https://commerce.toshiba.com/","https://www.linkedin.com/company/ToshibaCommerce","https://nrfbigshow.nrf.com/company/toshiba-global-commerce-solutions-inc"
"VTEX","Platinum Level Sponsor","Ft. Lauderdale","FL","United States","VTEX offers a global, fully integrated digital commerce platform with native marketplace and OMS capabilities. We help enterprises in retail, manufacturing, wholesale, grocery, consumer packaged goods and other verticals to sell more, operate more efficiently, scale seamlessly and deliver remarkable customer experience. Our modern API and microservice-based architecture and our powerful business and developer tools give our customers the flexibility to grow and evolve their business and free them from software updates. Major brands including Whirlpool, Sony, Crate & Barrel, Adidas, L’oreal, Levi’s, Nestlé and C&A, plus 2,500 active online stores across 32 countries, trust VTEX to accelerate and transform their commerce. Visit http://www.vtex.com to learn more.","http://www.vtex.com","","https://nrfbigshow.nrf.com/company/vtex"
"ADYEN","Gold Level Sponsor","San Francisco","CA","United States","Adyen (AMS: ADYEN) is the financial technology platform of choice for leading companies. By providing end-to-end payments capabilities, data-driven insights, and financial products in a single global solution, Adyen helps businesses achieve their ambitions faster. With offices around the world, Adyen works with the likes of Facebook, Uber, H&M, eBay, and Microsoft.","https://nrfbigshow.nrf.com/company/adyen","https://www.linkedin.com/company/adyen/mycompany/verification/","https://nrfbigshow.nrf.com/company/adyen"
"Algolia","Gold Level Sponsor","San Francisco","CA","United States","Algolia is revolutionizing search and discovery by providing the world's most powerful API-First Search and Discovery Platform with its unique hybrid search engine, which is a combination of keyword and vector-based semantic search via NeuralSearch technology, in a single API. Algolia empowers both builders and business users with a better way to build unique and engaging end user experiences at Internet scale to predict what customers want with blazing fast speed and the best application browse experience leading to more remarkable Discovery. Algolia is your guide to the world’s content powering discovery where you live, work, and play. Discovery, as a result, is reinvented as the right content finds each user to inform, enrich and surprise. More than 12,500 companies including Under Armour, Birchbox, Stripe, Slack, Medium, and Zendesk rely on Algolia to manage over 1.5 trillion search queries a year. Algolia is headquartered in San Francisco with offices in New York, Atlanta, Austin, Paris, London, Bucharest, and Sydney. To learn more, visit www.algolia.com.","http://www.algolia.com","https://www.linkedin.com/company/algolia/","https://nrfbigshow.nrf.com/company/algolia"
"CommerceHub","Gold Level Sponsor","Latham","NY","United States","CommerceHub is a leading ecommerce enablement platform connecting supply, demand and delivery that helps retailers and brands increase sales by expanding product assortments, promoting products on the channels that perform, and enabling rapid, on-time customer delivery. CommerceHub helps its robust network of thousands of retailers, brands, and distributors achieve over $30 billion in Gross Merchandise Value annually. Visit commercehub.com.","http://www.commercehub.com","","https://nrfbigshow.nrf.com/company/commercehub"
"Coveo","Gold Level Sponsor","Quebec City","QC","Canada","Coveo is an AI Relevance Platform that powers ecommerce experiences such as: Search, Navigation, Recommendations, and Personalization. Coveo delivers packaged machine learning models to get your site search relevant on day 1 of adoption. The platform allows you to scale across brand sites, regions, complexity and use-cases to meet demand with ease. Coveo also arms merchandisers with scalable automation tools to reduce manual effort, optimize shopping experiences, and personalize content and promotions for customers, to bring the most value to the business.","https://www.coveo.com/en","","https://nrfbigshow.nrf.com/company/coveo"
"Cust2mate","Gold Level Sponsor","Tel Aviv","","Israel","","","","https://nrfbigshow.nrf.com/company/cust2mate"
"Dell Technologies","Gold Level Sponsor","Round Rock","TX","United States","Retail’s Digital Future is Now!Every organization needs to be a digital organization, powered by data, running in a multi-cloud world. At Dell Technologies, we continue to innovate, developing technology so you are always ready to move forward. Explore Retail IT Solutions to improve decisions throughout the retail value chain to collect, aggregate, and analyze data, improving margins, decreasing costs, and reducing security risks.  Dell Technologies will be there with the technology and the expertise to bring it all together to help you prepare for what is coming next.    Learn more at DellTechnologies.com/Retail.","https://www.delltechnologies.com/retail","","https://nrfbigshow.nrf.com/company/dell-technologies"
"Impact Analytics","Gold Level Sponsor","Linthicum Heights","MD","United States","Impact Analytics (IA) is delivering on the promise of AI through its proven enterprise-scale AI platform and products. Its next-generation products for planning, forecasting, merchandising, and end-to-end lifecycle pricing empowers leading retailers, grocers, CPG brands, and manufacturers with prescriptive analytics to fuel substantial improvements in revenue, margin, and critical KPIs.  Highly rated by industry peers and market researchers, the Company’s proven SmartSuite and forecasting products for assortment planning, inventory optimization, markdown optimization, and promotion planning are deployed at forward-looking retailers driving smarter decision with real-time insights, including 10 of the top 25 retailers, three of the top 10 CPG companies, and five leading global manufacturers. IA also helps retailers’ sustainability efforts through smarter merchandising and allocation decisions that are more precise, reducing waste and their carbon footprint.  www.impactanalytics.co","https://www.impactanalytics.co/","https://www.linkedin.com/company/impact-analytics/","https://nrfbigshow.nrf.com/company/impact-analytics"
"JCM Commerce Mechatronics Inc.","Gold Level Sponsor","Schaumburg","IL","United States","JCM is the leader in creating innovative and award-winning automated transaction technologies and solutions for diverse industries such as banking, financial, gaming, kiosk, retail, transportation, vending and specialty industries, lines of business where security, speed and accuracy are more than requirements – they’re necessities.  Our bill / coin validation technologies, printer technologies, system solutions and digital media solutions are world-renowned for helping customers make better connections with their customers. And we back up our products with a service program that our competitors envy and our customers love.  https://www.jcm-hq.co.jp/english/","https://www.jcm-hq.co.jp/english/","","https://nrfbigshow.nrf.com/company/jcm-commerce-mechatronics-inc"
"Klaviyo","Gold Level Sponsor","Boston","MA","United States","","http://www.klaviyo.com","https://www.linkedin.com/company/klaviyo/mycompany/verification/","https://nrfbigshow.nrf.com/company/klaviyo"
"Koerber Supply Chain","Gold Level Sponsor","Minneapolis","MN","United States","Supply chains are growing more complex by the day. Körber uniquely provides a broad range of proven, end-to-end supply chain solutions fitting any business size, strategy or appetite for growth. Capable of delivering not just software, but automation, voice, robotics, and materials handling – plus the expertise to tie it all together. We are a global partner not just for today, but also as the needs of supply chains continue to evolve. Conquer supply chain complexity – with Körber. The Körber Business Area Supply Chain is part of the global technology group Körber. Find out more on www.koerber-supplychain.com","http://www.koerber-supplychain.com","https://www.linkedin.com/company/koerber-supply-chain","https://nrfbigshow.nrf.com/company/koerber-supply-chain"
"Kyndryl, Inc.","Gold Level Sponsor","New York","NY","United States","Kyndryl is a talent-based professional services organization, supporting the core of businesses that move the world. We are the newest global systems integrator, powered by more than 90,000 skilled professionals serving customers in over 100 countries. We design, build, manage and modernize mission-critical technology systems that global retailers depend on every day. We are creating a retail world powered by digital systems, co-creating incremental changes that raise the standard of the retail industry.  We help the world’s biggest companies realize big ambitions and discover new ones.  We are devoted to our customers and committed to their success, delivering outcome-based solutions and services, using technology enablers and a vast partnership ecosystem. To learn more, visit www.kyndryl.com","","https://www.linkedin.com/company/kyndryl/","https://nrfbigshow.nrf.com/company/kyndryl-inc"
"Legion Technologies","Gold Level Sponsor","Palo Alto","CA","United States","Intelligent Automation powered by Legion WFM maximizes labor efficiency and employee engagement simultaneously. Legion WFM has been proven to deliver 13x ROI through schedule optimization, reduced attrition, increased productivity, and increased operational efficiency. Legion automates day-to-day decisions freeing managers to focus on their businesses and employees. Hourly employees get gig-like flexibility, modern clock-aware communication tools, instant access to earned wages, and performance and rewards - in a single, easy-to-use platform and mobile app that employees love. Learn more at https://legion.co.","https://legion.co/","https://www.linkedin.com/company/legionco","https://nrfbigshow.nrf.com/company/legion-technologies"
"Manhattan Associates, Inc.","Gold Level Sponsor","Atlanta","GA","United States","Manhattan is a technology leader focused on improving experiences and outcomes in supply chain commerce. We provide leading software solutions for omnichannel commerce, supply chain planning and supply chain execution. Our cloud-native Manhattan Active® platform technology and unmatched industry experience help increase top-line growth and bottom-line efficiency for the world’s leading brands. Manhattan designs, builds and delivers innovative solutions for stores, transportation networks and fulfillment centers, eliminating silos created by legacy commerce, warehouse, and transportation systems to create seamless operations and optimal efficiency. Manhattan is committed to the exploration of data and behavioral sciences, using machine learning to optimize every shipment and gamification to improve every associate experience. Manhattan enables organizations to achieve a more sustainable future by using fewer resources, traveling fewer miles, and reducing waste. For more information, visit www.manh.com","https://www.manh.com","https://www.linkedin.com/company/manhattan-associates/mycompany/","https://nrfbigshow.nrf.com/company/manhattan-associates-inc"
"NCR Corporation","Chairman's Circle Sponsor","Atlanta","GA","United States","NCR is a leading software- and services-led enterprise provider that makes it easy for retailer to meet their customers wherever they are. Leading with digital, we connect the entire store, giving shoppers what they want: faster checkout. Options. Consistency.  With NCR technology retailers can create an easy, intuitive experience that makes their shoppers want to come back, while making their retail operations run smoother than ever.  Our hardware, software and services do more than just help retails rung their entire operation from back office to the front end. We connect every customer touchpoint into a single, amazing experience that makes shopping effortless for your customers while making business easier, faster and more profitable—from POS to payments to loyalty programs. For more information visit www.ncr.com/retail.","https://www.ncr.com","","https://nrfbigshow.nrf.com/company/ncr-corporation"
"Nedap","Gold Level Sponsor","Burlington","MA","United States","Nedap Retail is the global leader in RFID-based retail solutions. Perfect inventory visibility, zero waste and no losses. That’s our vision for every retailer in this world. The Nedap iD Cloud Platform makes it simple for retailers to always have the right products available, at the right place and at the right time by creating a complete and transparant view of the supply chain.","http://www.nedap-retail.com","","https://nrfbigshow.nrf.com/company/nedap"
"SML RFID","Gold Level Sponsor","Plano","TX","United States","With a presence in over 20 countries, SML Group is the global end-to-end RFID and brand identification solutions provider, delivering proven results and rapid ROIs to brands in the new era of retailing. We offer innovative InspireTM and EcoInspireTM labeling and packaging products, high-performance RFID tags and encoding services across industries. Our proprietary software Clarity® is the only item-level RFID solution that is engineered and deployment-proven for vertical retailers and brand owners with stores. As an invaluable partner of brands, SML is committed to developing tech-driven solutions that power brand transformation and prosperity.  For more information about our SML RFID TotalCare™ Solutions visit our website or reach out to us at info@sml-rfid.com.","https://www.sml.com/rfid-software/","https://www.linkedin.com/company/sml-rfid/","https://nrfbigshow.nrf.com/company/sml-rfid"
"SOTI, Inc.","Gold Level Sponsor","Mississauga","ON","Canada","SOTI is a proven innovator and industry leader for mobility and IoT management. Globally, over 17,000 companies depend on SOTI to enable their strategies for mobile devices, applications, content, as well as endpoints for the Internet of Things. SOTI's extensive vertical experience provides unparalleled insight into each company's unique business needs. Strong relationships with mobile technology and IoT partners around the world gives SOTI advanced knowledge of new technologies and cutting-edge business solutions. SOTI's commitment to innovation ensures your business is one step ahead with the solutions you need to take mobility to endless possibilities.","https://soti.net/industries/retail?utm_source=event&amp;utm_medium=sponsored&amp;utm_campaign=NRF_2023","https://www.linkedin.com/company/soti","https://nrfbigshow.nrf.com/company/soti-inc"
"Square","Gold Level Sponsor","San Francisco","CA","United States","Square helps sellers more easily run and grow their businesses with its integrated ecosystem of commerce solutions. Square offers purpose-built software to run complex restaurant, retail, and professional services operations, versatile e-commerce tools, embedded financial services and banking products, buy now, pay later functionality through Afterpay, staff management and payroll capabilities, and much more – all of which work together to save sellers time and effort. Millions of sellers across the globe trust Square to power their business and help them thrive in the economy. Square is part of Block, Inc. (NYSE: SQ), a global technology company with a focus on financial services. For more information, visit www.squareup.com.","http://www.square.com","","https://nrfbigshow.nrf.com/company/square"
"Talkdesk","Gold Level Sponsor","San Francisco","CA","United States","Talkdesk® is a global cloud contact center leader for customer-obsessed companies. Our automation-first customer experience solutions optimize our customers’ most critical customer service processes. Our speed of innovation, vertical expertise, and global footprint reflect our commitment to ensuring that businesses can deliver better experiences across any industry and through any channel, resulting in higher customer satisfaction and accelerated business outcomes.","http://www.talkdesk.com","https://www.linkedin.com/company/talkdesk","https://nrfbigshow.nrf.com/company/talkdesk"
"Unity Technologies SF","Gold Level Sponsor","San Francisco","CA","United States","Unity (NYSE: U) is the world’s leading platform for creating and operating real-time 3D (RT3D) content. Creators, ranging from game developers to artists, architects, automotive designers, filmmakers, and others, use Unity to make their imaginations come to life. Unity’s platform provides a comprehensive set of software solutions to create, run and monetize interactive, real-time 2D and 3D content for mobile phones, tablets, PCs, consoles, and augmented and virtual reality devices. The company’s 1,800+ person research and development team keeps Unity at the forefront of development by working alongside partners to ensure optimized support for the latest releases and platforms. Apps developed by Unity creators were downloaded more than five billion times per month in 2020. For more information, please visit www.unity.com.","http://unity.com","https://www.linkedin.com/company/unity-technologies","https://nrfbigshow.nrf.com/company/unity-technologies-sf"
"Walmart Commerce Technologies","Gold Level Sponsor","Bentonville","AR","United States","Walmart Commerce Technologies offers businesses of all sizes white-label solutions to help transform and grow their operations. Empowering businesses to navigate and meet the rapidly evolving needs of customers at scale.  Walmart Commerce Technologies recently launched Store Assist, an out-of-the box, mobile-first store fulfillment application, which unlocks buy online pickup in-store or curbside (BOPIS) experiences for your customers. Our fulfillment technology has been proven in Walmart stores for the last decade and built on 60 years of industry leadership. From in-store picking to customer hand-off, our white-label solutions will help you reach new audiences, improve your profit margins and deliver a great customer experience every time. For more information or to get in touch with our team, please visit commerce.walmart.com.","","","https://nrfbigshow.nrf.com/company/walmart-commerce-technologies"
"Zipline","Gold Level Sponsor","San Francisco","CA","United States","Zipline is how best-in-class brands bring corporate strategies to life in stores. A unified platform for operational excellence, Zipline brings together frontline communications, task management, resources, insights, and more, allowing everyone to feel connected to the brand and inspired by their work. The company has an NPS of 76 and was named to the Inc. 5000 list of fastest-growing private companies. CBInsights ranked Zipline as one of the 100 most promising B2B retail tech companies. Today, more than 75 brands like Rite Aid, Sephora, and AEO, Inc. depend on Zipline to align and empower their store teams worldwide.","http://getzipline.com","https://www.linkedin.com/company/get-zipline","https://nrfbigshow.nrf.com/company/zipline"
"Avalara","Silver Level Sponsor","Seattle","WA","United States","Avalara helps retail businesses achieve compliance with transaction taxes. In partnership with leading ERP, accounting, ecommerce and other financial management system providers, Avalara delivers comprehensive, automated, cloud-based solutions designed to be fast, accurate, and easy to use. Visit www.avalara.com.","http://www.avalara.com","https://www.linkedin.com/company/avalara ","https://nrfbigshow.nrf.com/company/avalara"
"Axonify","Silver Level Sponsor","Waterloo","ON","Canada","Axonify is the modern training and communications solution for frontline employees that delivers. Why does it work so well? Because the experience is fun, fast, personalized and designed to make critical information stick. And employees love it—83% of users log in 2-3 times a week, which translates into meaningful behavior change that drives business results. More than 200 customers in 155+ countries around the world, including Walmart, Bloomingdale’s, Levi's and Merck, trust Axonify to fuel their people's performance to keep pace with their business. Founded in 2011, Axonify is headquartered in Waterloo, ON Canada. For more information, please visit http://www.axonify.com.","http://www.axonify.com","https://www.linkedin.com/company/axonify/mycompany/","https://nrfbigshow.nrf.com/company/axonify"
"BigCommerce","Silver Level Sponsor","Austin","TX","United States","BigCommerce (Nasdaq: BIGC) is a leading software-as-a-service (SaaS) ecommerce platform that empowers merchants of all sizes to build, innovate and grow their businesses online. As a leading open SaaS solution, BigCommerce provides merchants sophisticated enterprise-grade functionality, customization and performance with simplicity and ease-of-use. Tens of thousands of B2B and B2C companies across 120 countries and numerous industries use BigCommerce to create beautiful, engaging online stores, including Ben & Jerry’s, Skullcandy and Sony. Headquartered in Austin, BigCommerce has offices in San Francisco, Sydney and London. Learn more at www.bigcommerce.com. BigCommerce® is a registered trademark of BigCommerce Pty. Ltd. Third-party trademarks and service marks are the property of their respective owners.","https://www.bigcommerce.com/","","https://nrfbigshow.nrf.com/company/bigcommerce"
